DiseaseName,DiseaseDescription
Stroke in children,"What is pediatric stroke?
Pediatric stroke is a rare condition affecting one in every 4,000 newborns and an additional 2,000 older children each year. Stroke is a type of blood vessel (cerebrovascular) disorder. Strokes can be categorized as ischemic (caused by insufficient blood flow) and hemorrhagic (caused by bleeding into the brain). When a blood vessel in the brain is injured, the brain tissue around it loses blood supply and suffers injury as well. Treatments and long-term outcome in children are different for each type.
As with adults, without prompt and appropriate treatment, stroke in children can be life threatening and requires immediate medical attention. Stroke is among the top 10 causes of death in children. Pediatric stroke can also cause neurologic disability, with a risk of permanent long-term cognitive and motor impairment.
IF YOU SUSPECT YOUR CHILD IS HAVING A STROKE, CALL 911 IMMEDIATELY.
What are the signs and symptoms of pediatric stroke?
Stroke in children typically begins suddenly. Symptoms may include (but are not limited to) the following:
weakness or numbness on one side of the body
slurred speech or difficulty with language
trouble balancing or walking
vision problems, such as double vision or loss of vision
sudden lethargy or drowsiness
seizure (unusual rhythmic movement of one or both sides of the body)
What are the risk factors for pediatric stroke?
Causes of stroke in children are different than those in adults. Risk factors include:
heart disease
problems with blood vessels supplying the brain
blood clotting disorders
sickle cell disease
Pediatric Stroke Diagnosis
When a child experiences symptoms that may indicate a stroke, rapid and thorough evaluation by a pediatrician or neurologist is essential to initiate treatment quickly and lower the risk of long-term problems.
Imaging studies of the brain and blood vessels, such as magnetic resonance imaging (MRI) or computed tomography (CT), are essential for diagnosis.
Additional testing to find the cause of the stroke may include:
catheter angiogram (a thin, flexible tube is inserted into blood vessels, contrast is injected, and X-rays are used to take pictures of the arteries and veins in the brain)
echocardiogram (an ultrasound of the heart)
blood tests for clotting disorders
Your child may need to see other specialists to help identify the cause of the stroke, including intensive care doctors, hematologists (specialists in blood disorders), neurologists, neurosurgeons, interventional radiologists and rehabilitation doctors (specialists in rehabilitation to recover function after stroke).
Pediatric Stroke Treatment
In the early stages of a stroke, your child’s treatment centers around supporting blood flow to the brain. Treatment may be a combination of the following:
Medical therapy: Your child may receive aspirin or other blood thinners (anticoagulants) and special vitamins. Children with sickle cell disease and stroke may be treated with hydroxyurea, transfusion therapy or both. If the stroke is causing seizures, your child may need anti-seizure medication as well.
“Clot-busting” medications used successfully in adults have not yet been approved for use in children, but they may be considered in certain situations.
Interventional neuroradiology: If your child has abnormal connections in blood vessels that feed the brain (arteriovenous malformation) or blood vessels with weakened walls that can bulge and tear (aneurysm), the doctor may place a catheter inside the affected blood vessel to help repair the abnormal area. In some situations, a catheter can be used to remove large clots in blood vessels to help restore essential blood flow to the brain. These interventional neuroradiology procedures are done with a catheter that is inserted into a blood vessel in the arm or leg and guided into the blood vessels in the brain.
Surgery: A surgical procedure may be appropriate for certain types of stroke and other cerebrovascular disorders. The type of surgery needed depends on the cause of the stroke. Surgery to remove a piece of bone (craniectomy) may be required in cases with severe brain swelling. Some other surgeries for stroke include closure of abnormal blood vessels, removal of abnormal areas of the brain and rerouting blood vessels to help provide blood supply to injured areas.
Pediatric Stroke Recovery
Follow-up care is extremely important. Once your child is stabilized, your medical team will work with you to create an ongoing plan to assess your child’s function and optimize recovery.
Depending on where in the brain the stroke occurred, your child may experience difficulties with walking, seeing, speaking or reading, sometimes with one side of the body affected more than the other. The stroke may cause a seizure disorder or have an impact on your child’s thinking or emotions.
Overall, a child’s growing brain has a better chance of recovering from stroke than an adult’s brain. Prompt diagnosis and treatment can minimize the risk of lasting problems, and early rehabilitation can help maximize recovery."
Sturge-Weber syndrome,"What is Sturge-Weber syndrome?
Sturge-Weber syndrome (SWS) is the association of a facial port-wine birthmark with glaucoma, abnormal vessels on the surface of the brain or both. Some children or adults have an isolated intracranial variant, meaning abnormal brain blood vessels with no skin or eye symptoms. SWS does NOT generally run in families. It can affect one side of the body or brain (in about 85 percent of cases) or both sides (in about 15 percent of cases).
The presence of a port-wine birthmark involving the forehead or upper eyelid raises the suspicion of SWS. These infants and children must be followed closely for other medical issues, including vision problems, epilepsy and developmental delays. In addition to the port-wine stain, children with SWS may experience seizures, weakness on one side of the body (hemiparesis), developmental delays and increased pressure in the eye (glaucoma).
Treatment
Seizures occur in more than 80 percent of children diagnosed with SWS. Approximately 25 percent of those children achieve full seizure control with medication, 50 percent receive partial seizure control and 25 percent receive no seizure control from medication. In more severe cases, a hemispherectomy may be performed.
 "
Substance abuse/chemical dependence in adolescents,"What is substance use disorder?
Substance use disorder is the medical term used to describe a pattern of using a substance (drug) that causes significant problems or distress. This may be missing work or school, using the substance in dangerous situations, such as driving a car. It may lead to substance-related legal problems, or continued substance use that interferes with friendships, family relationships, or both. Substance use disorder, as a recognized medical brain disorder, refers to the use of illegal substances, such as marijuana, heroin, cocaine, or methamphetamine. Or the misuse of legal substances, such as alcohol, nicotine, or prescription medicines. Alcohol is the most common legal drug associated with substance use disorder.
Substance (drug) dependence
Substance dependence is the medical term used to describe use of drugs or alcohol that continues even when significant problems related to their use have developed. Signs of dependence include:
Tolerance to or need for increased amounts of the drug to get an effect
Withdrawal symptoms that happen if you decrease or stop using the drug that you find difficult to cut down or quit
Spending a lot of time to get, use, and recover from the effects of using drugs
Withdrawal from social and recreational activities
Continued use of the drug even though you are aware of the physical, psychological, and family or social problems that are caused by your ongoing drug use
What substances are associated with substance use disorder?
Substances frequently include:
Alcohol
Marijuana
Prescription medicines, such as pain pills, stimulants, or anxiety pills
Methamphetamine
Cocaine
Opiates
Hallucinogens
Inhalants
What causes substance use disorder?
Cultural and societal factors determine what are acceptable or allowable forms of drug or alcohol use. Public laws determine what kind of drug use is legal or illegal. The question of what type of substance use can be considered normal or acceptable remains controversial. Substance use disorder is caused by multiple factors, including genetic vulnerability, environmental stressors, social pressures, individual personality characteristics, and psychiatric problems. But which of these factors has the biggest influence in any one person cannot be determined in all cases.
What are the symptoms of substance use disorder?
The following are the most common behaviors that mean a person is using or misusing drugs or alcohol. But each person may have slightly different symptoms. Symptoms may include:
Using or drinking larger amounts or over longer periods of time than planned.
Continually wanting or unsuccessfully trying to cut down or control use of drugs or alcohol.
Spending a lot of time getting, using, or recovering from use of drugs or alcohol.
Craving, or a strong desire to use drugs or alcohol.
Ongoing drug or alcohol use that interferes with work, school, or home duties.
Using drugs or alcohol even with continued relationship problems caused by use.
Giving up or reducing activities because of drug or alcohol use
Taking risks, such as sexual risks or driving under the influence.
Continually using drugs or alcohol even though it is causing or adding to physical or psychological problems.
Developing tolerance or the need to use more drugs or alcohol to get the same effect. Or using the same amount of drugs or alcohol, but without the same effect.
Having withdrawal symptoms if not using drugs or alcohol. Or using alcohol or another drug to avoid such symptoms.
The symptoms of substance use disorder may resemble other medical problems or psychiatric conditions. Always consult your doctor for a diagnosis.
How is substance use disorder diagnosed?
A family doctor, psychiatrist, or qualified mental health professional usually diagnoses substance use disorder. Clinical findings often depend on the substance, the frequency of use, and the length of time since last used, and may include:
Weight loss
Constant fatigue
Red eyes
Little concern for hygiene
Lab abnormalities
Unexpected abnormalities in heart rate or blood pressure
Depression, anxiety, or sleep problems
Treatment for substance use disorder
Specific treatment for substance use disorder will be determined by your doctor based on:
Your age, overall health, and health history
Extent of the symptoms
Extent of the dependence 
Type of substance you are using
Your tolerance for specific medicines, procedures, or therapies
Expectations for the course of the condition
Your opinion or preference
A variety of treatment (or recovery) programs for substance use disorder are available on an inpatient or outpatient basis. Programs considered are usually based on the type of substance. Detoxification (if needed, based on the substance) and long-term follow-up management or recovery-oriented systems of care are important features of successful treatment. Long-term follow-up management usually includes formalized group meetings and psychosocial support systems, as well as continued medical supervision. Individual and family psychotherapy are often recommended to address the issues that may have contributed to and resulted from the development of a substance use disorder."
Synovitis,"What is synovitis?
Synovitis is a type of arthritis that causes hip pain and limping. It occurs in children prior to the onset of puberty and usually resolves on its own.
Symptoms
Hip pain (one side only)
Limp
Thigh pain, in front and toward the middle
Knee pain
Low-grade fever
Diagnosis
Toxic/transient synovitis is diagnosed only after more serious conditions have been ruled out. Exams can include an ultrasound or X-ray of the hip, a complete blood count and in some cases, a bone scan and aspiration of hip joint fluid.
Treatment
Children can limit activity to ease pain or soreness but may engage in normal activities as they like. Nonsteroidal anti-inflammatory medications may be prescribed to reduce pain. Generally the hip pain goes away in seven to 10 days. For persistent or more severe cases, your doctor may recommend a hip arthroscopy to remove the inflamed tissue. 
 "
Systemic sclerosis,"Scleroderma is a group of diseases with a common symptom: hardening and tightening of the skin. There are two types of scleroderma: localized and systemic. Localized scleroderma only affects the skin and systemic scleroderma affects the skin, the blood vessels and internal organs.
Scleroderma is a rheumatic disease, which means patients may have inflammation, pain, swelling and stiffness in the joints, tendons, ligaments, bones, muscles and/or tissues. It’s also an autoimmune disease.
Scleroderma affects many more women than men, and it’s typically found in people between the ages of 30 and 50. As many as 300,000 people in the United States have been diagnosed with scleroderma, and as many as 10,000 die each year from the most serious forms of the disease.
Continue Reading"
Tenosynovitis,"What is tenosynovitis?
Tenosynovitis describes inflammation of the lining of the protective sheath (the synovium) that covers the tendon.
Symptoms
Difficulty moving a joint
Joint pain and tenderness, especially the hand, wrist, foot and ankle
Joint swelling
Diagnosis
Diagnosis includes a physical exam that reveals swelling over the involved tendon and related muscle pain.
Treatment
Treatment is designed to relieve the pain and reduce the inflammation. Rest or immobilization of the affected tendons is critical to recovery. Applied heat or cold can help, as can nonsteroidal anti-inflammatory medications like ibuprofen. If the tenosynovitis is caused by an infection, antibiotics will be prescribed. A full recovery from tenosynovitis is likely with appropriate care and treatment."
Tetralogy of fallot,"Tetralogy of Fallot (TOF) is a combination of four congenital (present at birth) heart defects that affect infants and children. The defects occur together and change the way blood flows through the heart and lungs. TOF occurs in about 1 out of every 2,518 babies born in the U.S. each year.
Pediatric cardiologist Rukmalee Vithana of the Blalock-Taussig-Thomas Pediatric and Congenital Heart Center explains what you should know about TOF.
What is tetralogy of Fallot?
In a healthy heart, blood travels through the heart to the lungs, where it picks up oxygen. Then oxygen-rich blood leaves the lungs, travels back to the heart, and then courses throughout the body. Infants with TOF have trouble getting enough blood to their lungs, so the body gets too much oxygen-poor blood.
The four heart defects of tetralogy of Fallot include:
Pulmonary stenosis: A narrowed or stiffened pulmonary valve means the pulmonary artery has trouble sending enough blood from the heart to the lungs.
Ventricular septal defect (VSD): VSD is a hole between the two lower chambers (ventricles) of the heart. The hole allows oxygen-rich blood and oxygen-poor blood to mix, so the body does not receive enough oxygen-rich blood.
Overriding aorta: The aorta, which is the artery that carries oxygen-rich blood to the body, is out of place and rises above both ventricles. As a result, the body gets too much oxygen-poor blood.
Hypertrophy (enlargement) of the right ventricle: The right lower chamber of the heart is bigger or thicker than normal, making it harder for blood to go through the pulmonary valve."
Thalassemias,"Thalassemias are inherited disorders characterized by abnormal production of hemoglobin, a protein in red blood cells that carries oxygen. They result in low hemoglobin production and destruction of red blood cells. These diseases usually occur only in people who have at least two abnormal genes. Carriers (people with only one abnormal gene) usually do not have any problems, unless they carry other abnormal genes that interact with the thalassemia gene.
Listed in the directory below, you will find additional information regarding two different types of thalassemia, for which we have provided a brief overview.
Symptoms
Fatigue
Shortness of breath
Jaundice
Bone deformities in the face
Diagnosis
Enlarged spleen
Peripheral blood smear shows small, abnormally shaped red blood cells
Complete blood count shows anemia
Hemoglobin electrophoresis shows abnormal hemoglobin
Treatment
Regular blood transfusions and folate supplements are treatments for severe thalassemia. Medications are needed to remove excess iron in patients receiving transfusions frequently.
Alpha Thalassemia
Beta Thalassemia (Cooley's Anemia)"
Thyroid nodules,Jonathon Russell
Toe walking,"WHAT YOU NEED TO KNOW
Some children walk on their toes rather than their feet. This looks similar to standing on your “tiptoes.”
Toe walking is common among infants first learning to walk.
A majority of children will stop toe walking on their own without intervention.
Physical therapy, bracing and casting are used to treat toe walking, with surgical procedures available if these methods are unsuccessful."
Toxic shock syndrome (TSS),"What is toxic shock syndrome?
Toxic shock syndrome (TSS) is a cluster of symptoms that involves many systems of the body. Certain bacterial infections release toxins into the bloodstream, which then spreads the toxins to body organs. This can cause severe damage and illness.
What causes toxic shock syndrome?
The following bacteria commonly cause TSS:
Staphylococcus aureus
Streptococcus pyogenes
Clostridium sordellii
TSS from Staphylococcus infections was identified in the late 1970s and early 1980s when highly absorbent tampons were widely used by menstruating women. Due to changes in how tampons are made, the incidence of tampon-induced TSS has declined.
TSS from streptococcus infections is most commonly seen in children and the elderly. Other people at risk include those with diabetes, weak immune system, chronic lung disease, or heart disease.
Staphylococcus infections. Staphylococcus aureus (or S. aureus) may normally exist on a person's body and does not cause infection. Because it's part of the body's normal bacteria, most people develop antibodies to prevent infection. S. aureus can be spread by direct contact with infected persons. People who develop TSS usually have not developed antibodies against S. aureus. Therefore, it's not usually considered a contagious infection. S. aureus infections may also develop from another infection, such as pneumonia, sinusitis, osteomyelitis (infection in the bone), or skin wounds, such as a burn or surgical site. If any of these areas are infected, the bacteria can penetrate into the bloodstream.
Streptococcus infections. Streptococcus pyogenes (or S. pyogenes) TSS may occur as a secondary infection. Most commonly, this is seen in people who have recently had chickenpox, bacterial cellulitis (infection of the skin and underlying tissue), or who have weak immune systems.
Clostridium sordellii infections. Clostridium sordellii (or C. sordellii) normally exists in the vagina and does not cause infection. The bacteria may enter the uterus during normal menstruation, childbirth, or gynecological procedures such as abortion. Intravenous drug use can also cause C. sordellii infections.
Who is at risk for toxic shock syndrome?
The following are risk factors for toxic syndrome:
History of using super-absorbent tampons
Surgical wounds
A local infection in the skin or deep tissue
History of using the diaphragm or contraceptive sponge
History of recent childbirth, miscarriage, or abortion
What are the symptoms of toxic shock syndrome?
Symptoms of TSS involve many systems and may look like other infections. While each person may experience symptoms differently, the following are the most common symptoms of staphylococcal TSS:
Fever higher than 102°F (38.9°C)
Chills
Feeling unwell
Headache
Fatigue
Rash that is red and flat and that covers most of the areas of the body
Shedding of the skin in large sheets, especially over the palms and soles, seen one to two weeks after the onset of symptoms.
Low blood pressure
Vomiting
Diarrhea
Muscle pain
Increased blood flow to the mouth, eyes, and vagina, making them appear red
Decreased urine output and sediment in urine
Decreased liver function
Bruising due to low blood platelet count
Disorientation and confusion
The following are the most common symptoms of streptococcal TSS:
Dangerously low blood pressure
Shock
Decreased kidney function
Bleeding problems
Bruising due to low blood platelet count
Rash that is red and flat and that covers most of the areas of the body
Liver impairment
Shedding of the skin in large sheets, especially over the palms and soles (this does not always occur)
Difficulty breathing
The following are the most common symptoms of C. sordellii TSS:
Nausea and/or vomiting
Lethargy
Flu-like symptoms
Abdominal tenderness
Generalized swelling from fluid buildup
High white blood cell and red blood cell count
No fever
Low blood pressure
Very fast heart rate
How is toxic shock syndrome diagnosed?
Ruling out similar illnesses (such as Rocky Mountain spotted fever, among others) is critical in diagnosing TSS. Other diagnostic tests may include:
Blood cultures. Tests used to find and identify microorganisms.
Blood tests. Tests to measure blood clotting and bleeding times, cell counts, electrolytes, and liver function, among others.
Urine tests.
Lumbar puncture. A procedure involving the insertion of a needle in between the vertebrae of the spine to draw spinal fluid and check for bacteria.
How is toxic shock syndrome treated?
Specific treatment will be determined by your health care provider based on:
Your age, health, and medical history
Extent of the disease
Your tolerance for specific medications, procedures, or therapies
Expectations for the course of the disease
Your opinion or preference
Treatment for TSS may include:
Giving intravenous (through a vein) antibiotics
Giving intravenous fluid to treat shock and prevent organ damage
Heart medications in people with very low blood pressure
Dialysis may be required in people who develop kidney failure
Giving blood products
Supplemental oxygen or mechanical ventilation to assist with breathing
Deep surgical cleaning of an infected wound
What are the complications of toxic shock syndrome?
TSS can result in amputations of fingers, toes, or limbs, or even death.
Can toxic shock syndrome be prevented?
Since reinfection is common, menstruating girls and women should avoid using tampons if they have had TSS.
Prompt and thorough wound care is crucial in avoiding TSS.
Minimal usage of vaginal foreign body items, such as diaphragms, tampons, and sponges can also help prevent TSS.
When should I call my health care provider?
TSS may start like other infections, but it can quickly progress to a seriously life-threatening disease. If a mild illness quickly becomes severe with whole-body symptoms, seek immediate medical attention.
Key Points about Toxic Shock Syndrome
Toxic shock syndrome describes a cluster of symptoms that involve many systems of the body.
It can be caused by Staphylococcus aureus, Streptococcus pyogenes, or Clostridium sordellii.
Early symptoms are similar to other infections but can progress quickly to become life-threatening.
TSS can be life-threatening and requires immediate medical attention.
Next Steps
Tips to help you get the most from a visit to your health care provider:
Before your visit, write down questions you want answered.
Bring someone with you to help you ask questions and remember what your provider tells you.
At the visit, write down the names of new medicines, treatments, or tests, and any new instructions your provider gives you.
If you have a follow-up appointment, write down the date, time, and purpose for that visit.
Know how you can contact your provider if you have questions."
Tracheomalacia,"What is tracheomalacia?
Tracheomalacia in a newborn occurs when the cartilage in the windpipe, or trachea, has not developed properly. Instead of being rigid, the walls of the trachea are floppy, resulting in breathing difficulties soon after birth. Babies born with tracheomalacia may have other congenital abnormalities, such as heart defects, developmental delays and gastroesophageal reflux. Also, aspiration pneumonia can occur from inhaling food.
Symptoms
Breathing noises that may change with position and improve during sleep
Breathing problems that get worse with coughing, crying, feeding or upper respiratory infections
High-pitched or rattling breathing
Diagnosis
A physical examination confirms the symptoms. A chest X-ray may show narrowing of the trachea when breathing in. A procedure called a laryngoscopy, which allows the otolaryngologist to see the airway structure, provides a definitive diagnosis. Other tests may include:
Airway fluoroscopy
Barium swallow
Bronchoscopy (a camera down the throat to see the airways and lungs)
CT scan
Lung function tests
MRI
Treatment
Most infants respond well to humidified air, careful feedings and antibiotics for infections. Babies with tracheomalacia must be closely monitored when they have respiratory infections. Often, the symptoms of tracheomalacia improve as the infant grows. Rarely, surgery is needed.
Prognosis
Congenital tracheomalacia generally goes away on its own between 18 and 24 months. As the tracheal cartilage gets stronger and the trachea grows, the noisy respirations and breathing difficulties gradually stop."
Transient tachypnea of the newborn,"What is transient tachypnea of the newborn?
Transient tachypnea of the newborn, or TTN, is a respiratory disorder usually seen shortly after delivery in babies who are born near or at term. Transient means it is short lived (usually less than 24 hours) and tachypnea means rapid breathing.
Symptoms
Newborns with TTN have respiratory problems soon after birth (within one to two hours). These usually consist of some combination of rapid, noisy breathing (grunting) and/or the use of extra muscles to breathe (flaring nostrils or movements between the ribs or breastbone known as retractions).
Diagnosis
The mother’s pregnancy and labor history are important to make the diagnosis. A chest X-ray may be taken to eliminate other causes of respiratory problems. A blood count and blood culture may be drawn to try to rule out infection. TTN is usually diagnosed after monitoring your baby for one to two days.
Treatment
Your baby will be given oxygen as needed to maintain an adequate blood oxygen level. Pulse oximeter and/or blood gases may be used. Your baby’s oxygen requirement will usually be highest within a few hours after birth and then begin to decrease. Most infants with TTN improve in 12 to 24 hours.
If your baby is breathing very rapidly, feedings may be withheld and intravenous fluids may be given for nutrition until he or she improves. Your baby may also receive antibiotics during this time until infection is ruled out. Rarely, babies with TTN may have persistent lung problems for as long as one week.
Prognosis
TTN usually resolves completely within 24 hours after delivery. Babies who have had TTN usually have no further problems from it and require no special care or follow-up other than their routine pediatrician visits."
Tricuspid atresia,"What is tricuspid atresia?
Tricuspid atresia (TA) is a heart defect present at birth (congenital). It occurs when the tricuspid valve doesn't form right during fetal heart development. This happens during the first 8 weeks of pregnancy. The tricuspid valve is located between the right upper chamber (atrium) and the right lower chamber (ventricle) of the heart. The defect keeps blood from flowing normally from the right atrium to the right ventricle.
In tricuspid atresia, the following occurs:
The tricuspid valve does not form properly or at all.
The right ventricle is often smaller than normal.
There is an opening between the 2 atria (atrial septal defect). This is usually an open (patent) foramen ovale. The foramen ovale is a normal part of fetal circulation. It usually closes shortly after birth.
There is an opening between the ventricles (ventricular septal defect).
An open (patent) ductus arteriosus allows blood to flow from the aorta to the pulmonary artery which allows blood to flow to the lungs for oxygen. The ductus arteriosus is a normal part of fetal circulation. It usually closes shortly after birth.
Other heart defects may also be present (such as transposition of the great vessels, pulmonary stenosis, or pulmonary atresia)
What causes tricuspid atresia?
The fetal heart develops during the first 8 weeks of pregnancy. In tricuspid atresia, the tricuspid valve does not form as it should. Development of the ventricles is influenced by blood flowing through them. Since blood does not pass through the tricuspid valve, the right ventricle remains small.
Some congenital heart defects may be passed down through families (genetic defects). Most of the time, there is no known cause for tricuspid atresia.
What are the symptoms of tricuspid atresia?
Symptoms of tricuspid atresia occur shortly after birth. Common symptoms may include:
Blue color of the skin, lips, and nail beds (cyanosis)
Fast breathing
Trouble breathing
Fast heart rate
Poor feeding
The symptoms of tricuspid atresia may look like other health conditions. Make sure your child sees his or her healthcare provider for a diagnosis.
How is tricuspid atresia diagnosed?
Tricuspid atresia may be diagnosed with a prenatal ultrasound exam. Otherwise, symptoms occur shortly after birth. A pediatric cardiologist or a neonatologist will help care for your child. These are doctors with special training to treat problems in children.
One or more healthcare providers will examine your baby. They will listen to your baby's heart and lungs with a stethoscope and note any abnormal heart sound (heart murmur).
Testing for congenital heart disease may include:
Pulse oximetry. A simple test that uses a small probe to check the amount of oxygen in the blood.
Lab tests. Blood and urine samples will be checked.
Chest X-ray. A chest X-ray may show changes often seen with tricuspid atresia.
Electrocardiogram (ECG). An ECG records the electrical activity of the heart. It shows abnormal rhythms, and detects heart muscle stress.
Echocardiogram (echo). An echo uses sound waves to make a moving picture of the heart and heart valves. The diagnosis of tricuspid atresia will be made based on finding the abnormal heart structures.
Cardiac catheterization (cardiac or heart cath). A cardiac catheterization gives very detailed information about the structures inside the heart. Your baby will be given medicine to relax (sedation). Then a thin, flexible tube (catheter) is put into a blood vessel in your baby's groin. It's guided to the heart. Blood pressure and oxygen measurements are taken in the heart chambers, the pulmonary artery, and the aorta. Contrast dye is also injected to more clearly see the structures inside the heart. A heart cath may also be used in the initial treatment of the defect.
How is tricuspid atresia treated?
Your child will most likely be in the intensive care unit (ICU). Early medical treatment may include:
Supplemental oxygen or possibly a ventilator, to help with breathing.
IV medicines. Prostaglandin E1 may be given to keep the ductus arteriosus open. Other medicines may be given to help the heart and lungs work better.
Other early treatment may include:
Cardiac cath. In some cases, cardiac catheterization may be used in the early period. If pulmonary stenosis is present, a catheter with a balloon at the tip can be inflated to widen the valve and let enough blood flow through. This may allow the child to only need 2 surgical stages, rather than 3.
Balloon atrial septostomy. A special catheter with a balloon in the tip is used to create or enlarge an opening in the wall between the left and right atria (atrial septum). This helps with the flow of blood from the right side of the heart to the left side of the heart.
Three surgeries, in stages, may be done. They are:
Blalock-Taussig shunt. This surgery is done on newborns. It varies, depending on the exact defect present in your child. A connection (shunt) is created to allow blood from the aorta to reach the lungs and pick up oxygen.
Glenn shunt. This surgery may be done on babies from age 3 to 6 months. A new connection (shunt) replaces the first shunt. This shunt connects the large blood vessel from the top of the body to the heart (superior vena cava) to the pulmonary artery. This allows blood to get to the lungs for oxygen.
Fontan procedure. This surgery may be done from age 2 to 3 years. A second connection (shunt) is made. It allows blood from the large blood vessel from the lower part of the body to the heart to flow to the pulmonary artery. This surgery varies depending on the exact defect, as well as other factors.
Heart transplant is also a choice, but it is not usually done because it is difficult to find a donor heart. Also the surgeries to improve blood flow have become more and more successful.
What are the complications of tricuspid atresia?
Complications of tricuspid atresia may include:
Enlarged right atrium
Abnormal heart rhythms (arrhythmias)
Decreased ability to exercise
Heart failure
Decreased ability to absorb protein from intestines
Living with tricuspid atresia
Your child may need a series of repair procedures.
Before your child comes home, the nursing staff will explain medicines and treatments. For example, your child may need special formula and supplemental feedings to help him or her grow. The staff will also help to arrange home health care, if needed. You may get other instructions from your child's heart care team and the hospital staff.
Babies will have bluish skin (cyanosis) after the first 2 surgeries, or until the final Fontan procedure is done. Your child may grow and develop slowly because of decreased oxygen in the blood. After the Fontan procedure, when oxygen levels improve, you will likely see large improvements in your child's grow and development.
Your child will need to be followed by a pediatric cardiologist. The cardiologist may recommend:
Your child should get all recommended vaccines.
Your child will probably need antibiotics before some types of surgery or dental procedures.
Your child may have to avoid some sports.
As your child grows and matures, he or she will need to work with a cardiologist and other healthcare providers to plan pregnancy or surgeries.
Regular follow-up care at a center offering pediatric or adult congenital cardiac care should continue throughout life.
Talk with your child's cardiologist about the specific outlook for your child.
When should I call my child's healthcare provider?
Call your child's healthcare provider if your child's normal symptoms become worse or if new symptoms appear.
Key points about tricuspid atresia
Tricuspid atresia occurs when the tricuspid valve does not develop properly. This prevents blood flow from the right atrium to the right ventricle.
Tricuspid atresia may be identified during a prenatal ultrasound or shortly after birth when the baby becomes blue (cyanotic).
Your child will stay in the intensive care unit (ICU).
Your child will need medicines and a series of surgical procedures to allow oxygen-rich (red) blood to be pumped to the body.
Your child will need to be followed by a specialist in congenital heart conditions throughout life.
Next steps
Tips to help you get the most from a visit to your child's healthcare provider:
Know the reason for the visit and what you want to happen.
Before your visit, write down questions you want answered.
At the visit, write down the name of a new diagnosis, and any new medicines, treatments, or tests. Also write down any new instructions your provider gives you for your child.
Know why a new medicine or treatment is prescribed and how it will help your child. Also know what the side effects are.
Ask if your child's condition can be treated in other ways.
Know why a test or procedure is recommended and what the results could mean.
Know what to expect if your child does not take the medicine or have the test or procedure.
If your child has a follow-up appointment, write down the date, time, and purpose for that visit.
Know how you can contact your child's provider after office hours. This is important if your child becomes ill and you have questions or need advice."
Truncus arteriosus,"Truncus arteriosus, also known as TA, is a congenital (present at birth) heart defect. It occurs when there is one main blood vessel leaving the heart instead of two, which means that the oxygenated and deoxygenated blood is combined. Babies with TA need surgery to repair the defect. TA can be fatal if it is not treated.

TA is very rare. It affects about 1 out of every 10,000 live births in the U.S.
What is truncus arteriosus?
TA occurs when the two main blood vessels arising from the heart — the aorta and the pulmonary artery — do not separate as they should during fetal development. Babies with TA are born with one large vessel, or “trunk,” exiting the heart instead of two separate ones.
In most cases, TA occurs with another congenital heart defect called ventricular septal defect (VSD). VSD is a hole in the wall between the heart’s two lower chambers.
Other conditions that might occur with TA include:
Aortic arch abnormalities, such as coarctation and interrupted aortic arch
Patent ductus arteriosus
Pulmonary stenosis
Truncus arteriosus types
There are four types of truncus arteriosus. All types include a single trunk vessel exiting the heart. The difference is how and where the right and left pulmonary arteries split off to bring blood to each lung. The type will affect how repair is done.

The four types are:
Truncus arteriosus type 1: The most common form, occurring in about 60% of cases. The right and left pulmonary arteries branch off the main pulmonary artery once it separates from the common trunk.
Truncus arteriosus type 2: The right and left pulmonary arteries branch off directly from the common trunk.
Truncus arteriosus type 3: One pulmonary artery branches off the common trunk, and the other branches off the aorta.
Truncus arteriosus type 4: Neither pulmonary artery branches off the main artery. Instead, they branch off the descending aorta (portion of the aorta that moves downward into the chest).
How does truncus arteriosus affect blood flow?
After babies are born and begin using their lungs, blood prefers to flow into the lungs rather than out to the body. TA causes too much blood to flow into a baby’s lungs, which makes the heart work harder to pump blood to the rest of the body. The blood that does get to the body does not have as much oxygen as it should because the circulation is mixed.
Truncus Arteriosus Symptoms
Truncus Arteriosus symptoms in infants may include:
Breathing problems
Cyanosis (bluish skin, lips and nails from not getting enough oxygen-rich blood)
Difficulty feeding
Fatigue or extreme sleepiness
Heart murmur (abnormal sounds in the heart)
Poor weight gain
Pounding heart
Weak pulse 
Truncus Arteriosus Causes
TA might be the result of changes to certain genes or chromosomes. About 20% of babies with DiGeorge syndrome (a chromosomal disorder) also have TA. But in the majority of cases, TA occurs without any known cause.

Some risk factors increase the risk of congenital heart diseases such as TA:
Family history of congenital heart disease
Having certain medical conditions during pregnancy, such as rubella
Smoking or drinking alcohol during pregnancy
Taking certain medications during pregnancy
Truncus Arteriosus Diagnosis
A doctor may diagnose TA before birth with a prenatal ultrasound. If clinicians notice symptoms of TA after birth, they may perform the following tests:
Cardiac catheterization
Chest X-ray
Echocardiogram (echo)
Electrocardiogram (ECG)
Pulse oximetry"
