,symptom,disease,treatment_drug,emergency_condition,treatment_drugs
76,"['ducts that carry milk to the nipple', 'small sacs that produce milk (lobules)', 'non-glandular tissue.']",breast-cancer,,"['Maintain a healthy weight.', 'Exercise regularly.', 'Limit your use of alcohol. (Experts recommend no more than one drink per day for women and two drinks per day for men.) If you do drink, you may decrease your breast cancer risk by taking a folate supplement.', 'Get regular mammograms. Experts differ on whether women at average risk for breast cancer should start screening at age 45 or age 50. They also differ on the frequency of mammography, either yearly or once every 2 years. Ask your doctor what makes sense for you.', 'Women who believe they may be at high risk of hereditary breast cancer should consider talking to a genetic counselor. This may influence the type and frequency of breast cancer screening they need.']","['a lump or thickening in the breast or under the arm', 'a clear or bloody discharge from the nipple', 'crusting or scaling of the nipple', 'a nipple that no longer sticks out (inverted)', 'redness or swelling of the breast', 'dimpling on the breast skin resembling the texture of an orange', 'a change in the contours of the breast, such as one being higher than the other', 'a sore or ulcer on the skin of the breast that does not heal.', 'Ultrasound can confirm whether the lump is a solid tumor or a fluid-filled, noncancerous cyst. It can also be used to assess any abnormal areas found on a mammogram.', ""Although it is not routinely performed, MRI is used to assess abnormalities on a mammogram, get a more accurate estimate of a cancer's size, and check for other cancers. MRI can also be used for screening in woman at high risk of breast cancer. Examples include:"", 'presence of a genetic mutation of the BRCA gene,', 'a first degree relative of a BRCA carrier', 'a strong family history  of breast cancer', 'prior radiation to the chest wall between the ages of 10 and 30.', 'If the lump is solid, your doctor probably will recommend a breast biopsy. During a biopsy, a small amount of breast tissue is removed and analyzed in a laboratory. Sometimes, your doctor will recommend a biopsy without doing an ultrasound or MRI first.', 'A breast biopsy can be done in different ways. These include', 'fine-needle aspiration, which uses a thin needle to withdraw bits of tissue from the tumor', 'large core needle biopsy, which allows larger pieces of tissue to be removed', 'stereotactic needle biopsy, a type of large core needle biopsy, which uses special imaging equipment to pinpoint the tissue to be removed', 'surgical biopsy, which involves removing all or part of the breast lump.', 'The type of biopsy your doctor chooses will depend on the location of the lump, its size, and other factors.', 'A specialist called a pathologist will examine the tissue under a microscope determine whether the tissue contains cancer cells. If it does, the pathologist can determine the type of breast cancer.', 'The pathologist will also assign a grade to the cancer. The grade indicates how closely the cancer cells resemble normal cells. A lower grade means that the cancer is slower-growing and less likely to spread; a higher grade means that the cancer is aggressive and likely to spread. The grade is one factor doctors consider when planning treatment. The pathologist may also determine how rapidly the cancer cells are dividing.', 'Depending on the type of biopsy and whether neighboring lymph nodes were removed, the biopsy report may include additional information. For example, the report may clarify how much the cancer has spread.', 'Another important step is to determine whether the cancer cells are ""hormone-receptor positive"" for estrogen and progesterone. Receptors allow specific substances, such as hormones, to latch on to the cell. Normal breast cells have both estrogen and progesterone receptors.', ""Cancer cells may have both receptors, one receptor, or no receptors. Women who have hormone-receptor positive cancers generally have a better prognosis. That's because they are more likely to respond to hormone therapy."", 'The biopsy sample should also be tested for a growth-promoting protein called HER2. The HER2 gene tells the cell to make the HER2 protein. Cancers with multiple copies of the HER2 gene produce too much HER2. These cancers, called HER2-positive, tend to grow and spread quickly.', 'This kind of information helps to guide treatment decisions. For example, women with HER2-positive cancers are likely to benefit from drugs that target the HER2 protein.', 'You may need to have additional tests to determine whether the cancer has spread. These include', 'bone scans', 'CT (computed tomography) scans', 'PET scans. PET scans look for metabolically active tissue. They are most useful to look for cancer that may have spread to other parts of the body.']"
77,,breast-ultrasound,,,
78,"['An accidental fall, especially in children who are playing and in adults who faint', 'Hitting the dashboard during a car accident', 'A fall from a motorcycle or bicycle', 'A fall or collision during contact sports', 'A punch to the jaw']",broken-jaw,,,"['Your jaw is deformed, crooked or shifted out of its normal midline position.', 'You have a painful lump in your jaw or below your ear.', 'Your teeth don\'t fit together properly or your bite is ""off"".', 'You have missing or loose teeth.', 'There is a painful swelling or a bruised area in the gum covering your jawbone.', 'You have difficulty opening your mouth or have pain in your jaw joint.', 'Your chin and lower lip are numb.']"
79,,bronchoscopy,,,
80,"['Repetitive binge eating.', 'Compensatory behavior to prevent weight gain.', 'Exaggerated preoccupation with body shape and weight.']",bulimia,,"['Prozac', 'Topamax', 'Effexor', 'fluoxetine', 'topiramate']","['help the patient meet her (or his) goals', 'reduce or eliminate binge eating and purging', 'treat any physical complications', 'provide education and motivate the individual to restore healthy eating', 'help the individual understand and change harmful thought patterns related to the disorder', 'identify and treat any associated mental disorders (for example, depression or anxiety)', 'encourage and develop family support', 'prevent relapse']"
81,"['Women who wear high heels', 'People who wear shoes that are too narrow or too pointed', 'People with flatfeet']",bunion,,,
82,"['Pain around such joints as the elbow, hip, shoulder and knee, especially if pressure is applied to the area or with use', 'Redness, warmth and swelling – These are less common and may mean the area is infected.']",bursitis,,,
83,"['It’s impossible or not advised to deliver the baby through the vagina, or', 'Continuing in labor seems to present a greater risk to the health of the baby or mother, even if the plan was a vaginal delivery.']",caesarean-section,,"['Spinal anesthesia. Spinal anesthesia is given by injecting anesthesia into and around the nerves of your spinal column, near the middle to lower back. This gives a rapid and complete numbing sensation, relaxing all the muscles of your legs and abdomen. Surgery can be started soon after the anesthesia is given because the effect begins quickly.', 'Epidural anesthesia. Epidural anesthesia requires a little more time and is given by inserting a small catheter into the space around the spinal column, called the epidural space. The epidural catheter is used to keep constant levels of anesthetic medication in the space around the nerves. The extent of numbing in the legs and abdomen and the length of time you are numbed can be controlled and adjusted as needed to prevent pain.', 'A combined spinal/epidural, called a CSE. A CSE provides both the immediate pain relief of the spinal anesthesia and longer acting pain relief with fine tuning, if needed.']","['Abnormal position of the placenta (for example, the placenta covers the cervix, a condition known as placenta previa)', 'Failure of the cervix to dilate during labor', 'Failure of the baby to descend through the birth canal during labor and pushing.']"
84,"['Cook poultry and meat thoroughly ', 'Wash your hands after handling raw poultry and meat ', 'Wash kitchen countertops and utensils thoroughly after they have been used to prepare poultry and meat.  ', 'You also can reduce your risk by never drinking unpasteurized milk or untreated water.  ']",campylobacteriosis,,,
85,"['getting certain vaccines to prevent cancer related viral infections, such as the human papilloma virus (HPV) vaccine to prevent cancer of the cervix and other cancers, and the hepatitis B vaccine to prevent cancer of the liver', 'getting screened for colon cancer starting at age 50, or younger if you have personal risk factors', 'practicing safe sex to avoid HIV infection', 'using alcohol in moderation, if you do drink', 'eating a diet rich in fruits and vegetables', 'staying physically active and exercising regularly.']",cancer,,,
86,"['Thrush — Thrush is the common name for a mouth infection caused by the Candida albicans fungus. It affects moist surfaces around the lips, inside the cheeks, and on the tongue and palate.  ', 'Esophagitis — Candida infections of the mouth can spread to the esophagus, causing esophagitis.  ', 'Cutaneous (skin) candidiasis — Candida can cause skin infections, including diaper rash, in areas of skin that receive little ventilation and are unusually moist. Some common sites include the diaper area; the hands of people who routinely wear rubber gloves; the rim of skin at the base of the fingernail, especially for hands that are exposed to moisture; areas around the groin and in the crease of the buttocks; and the skin folds under large breasts. ', 'Vaginal yeast infections — Vaginal yeast infections are not usually transmitted sexually. During a lifetime, 75% of all women are likely to have at least one vaginal Candida infection, and up to 45% have 2 or more. Women may be more susceptible to vaginal yeast infections if they are pregnant or have diabetes. The use of antibiotics or birth control pills can promote yeast infections. So can frequent douching. ', 'Deep candidiasis (for example, candida sepsis) — In deep candidiasis, Candida fungi contaminate the bloodstream and spread throughout the body, causing severe infection. This is especially common in newborns with very low birth weights and in people with severely weakened immune systems from illness or medications such as anticancer drugs. In these people, Candida fungi may get into the bloodstream through skin catheters, tracheostomy sites, ventilation tubing, or surgical wounds. Deep candidiasis also can occur in healthy people if Candida fungi enter the blood through intravenous drug abuse, severe burns or wounds caused by trauma.']",candidiasis,,"['nystatin', 'Nystop', 'Lamisil', 'Nyamyc', 'Canesten']","['Thrush — Doctors treat thrush with topical, antifungal medications such as nystatin (Mycostatin and others) and clotrimazole. For mild cases, a liquid version of nystatin can be swished in the mouth and swallowed, or a clotrimazole lozenge can be dissolved in the mouth. For more severe cases, an antifungal drug such as fluconazole (Diflucan) can be taken once a day by mouth.  ', 'Esophagitis — Candida esophagitis is treated with an oral antifungal drug such as fluconazole. ', 'Cutaneous candidiasis — This skin infection can be effectively treated with a variety of antifungal powders and creams. The affected area must be kept clean and dry and protected from chafing.  ', 'Vaginal yeast infections — Vaginal yeast infections can be treated with antifungal medications that are applied directly into the vagina as tablets, creams, ointments or suppositories. These include butoconazole (Femstat), clotrimazole (Gyne-Lotrimin), miconazole (Monistat, Vagistat and others), nystatin (Mycostatin and others), and tioconazole (Monistat-1, Vagistat-1). A single dose of oral fluconazole can be used. Sex partners usually do not need to be treated. ', 'Deep candidiasis — This infection usually starts with an intravenous anti-fungal drug, such as voriconazole or fluconazole. People with very low white blood cell counts may need an alternative intravenous antifungal drug, such as caspofungin or micafungin.  ']"
87,"['Headache ', 'Shortness of breath ', 'Personality changes ', 'Unusually emotional behavior or extreme swings in emotions ', 'Fatigue ', 'Malaise (a generally sick feeling) ', 'Dizziness ', 'Clumsiness or difficulty walking ', 'Vision problems ', 'Confusion and impaired judgment ', 'Nausea and vomiting ', 'Rapid breathing ', 'Chest pain ', 'A rapid or irregular heartbeat ']",carbon-monoxide-poisoning,,,
88,"['a persistent cough', 'coughing up blood', 'shortness of breath or wheezing', 'pneumonia (a lung infection)', 'facial flushing', 'diarrhea', 'a fast heartbeat', 'weight gain', 'increased facial and body hair.']",carcinoid-tumors-of-the-lung,,,
89,"['Sinus node dysfunction - This usually causes a slow heart rate (bradycardia), with a heart rate of 50 beats per minute or less. The most common cause is scar tissue that develops and eventually replaces the sinus node. Why this happens is not known. Sinus node dysfunction also can be caused by coronary artery disease, hypothyroidism, severe liver disease, hypothermia, typhoid fever or other conditions. It also can be the result of vasovagal hypertonia, an unusually active vagus nerve.', 'Supraventricular tachyarrhythmias - This diverse family of cardiac arrhythmias causes rapid heartbeats (tachycardias) that start in parts of the heart above the ventricles. In most cases, the problem is either an abnormality in the A-V node or an abnormal pathway that bypasses the typical route for heartbeat signals.', 'Atrial fibrillation - This is a supraventricular arrhythmia that causes a rapid and irregular heartbeat, during which the atria quiver or ""fibrillate"" instead of beating normally. During atrial fibrillation, heartbeat signals begin in many different locations in the atria rather than in the sinus node.']",cardiac-arrhythmias,,"['Eat a heart healthy diet, including eating an abundance of vegetables and fruits, fish, and plant sources for protein and avoiding saturated and trans fats.', 'Control your cholesterol and high blood pressure.', 'Quit smoking.', 'Control your weight.', 'Get regular exercise.']","['Sinus node dysfunction - There may not be any symptoms, or it may cause dizziness, fainting and extreme fatigue.', 'Supraventricular tachyarrhythmias - These can cause palpitations (awareness of a rapid heartbeat), low blood pressure and fainting.', 'Atrial fibrillation - Sometimes, there are no symptoms. This can cause palpitations; fainting; dizziness; weakness; shortness of breath; and angina, which is chest pain caused by a reduced blood supply to the heart muscle. Some people with atrial fibrillation alternate between the irregular heartbeat and long periods of completely normal heartbeats.', 'A-V block or heart block - First-degree A-V block does not cause any symptoms. Second-degree A-V block causes an irregular pulse or slow pulse. Third-degree A-V block can cause a very slow heartbeat, dizziness and fainting.', 'VT - Non-sustained VT may not cause any symptoms or cause a mild fluttering in the chest. Sustained VT usually causes lightheadedness or loss of consciousness and can be lethal.', 'Ventricular fibrillation - This causes absent pulse, unconsciousness and death.']"
90,"['May have suspected coronary artery disease', 'Are having a heart attack or in immediate danger of having a heart attack', 'Will be undergoing heart surgery, especially coronary artery bypass surgery', 'Have heart valve problems, including abnormal narrowing (stenosis), leakage (insufficiency), or significant backflow of blood through a valve (regurgitation)', 'May have cardiomyopathy (heart muscle damage causing symptoms of heart failure)']",cardiac-catheterization,,,
91,"['Dilated cardiomyopathy — The damaged heart muscle stretches out of shape. The heart becomes enlarged. It loses its ability to pump blood effectively. This eventually leads to heart failure.  Risk factors for dilated cardiomyopathy include: ', 'Coronary artery disease ', 'High blood pressure ', 'Prolonged, excessive alcohol use ', 'Myocarditis (heart muscle inflammation) ', 'Untreated thyroid disorders ', 'Inherited genetic diseases ', 'Disorders in which the heart muscle is overloaded with iron or amyloid protein  ', 'Radiation and chemotherapy treatments ']",cardiomyopathy,,"[""Your family's history of heart disease "", 'Any family members whose death was sudden and unexplained ', 'Specific circumstances that trigger your heart-related symptoms ']","['Dilated cardiomyopathy — Symptoms can include: ', 'Shortness of breath, especially during exertion ', 'Fatigue ', 'Difficulty breathing while lying down ', 'Leg swelling ', 'Palpitations ', 'Chest pain  ', 'Hypertrophic cardiomyopathy — Symptoms, when they occur, are usually the same as the symptoms of dilated cardiomyopathy. Sometimes, the first symptom may be fainting or even sudden death. The condition also can cause chest pain, usually during exercise.', 'Restrictive cardiomyopathy — Fluid accumulates in the legs and abdomen. This condition also can cause shortness of breath, especially during exertion.']"
92,"['Arthritis or fracture near the wrist ', 'Pregnancy ', 'Diabetes ', 'Overuse (as in typists, cashiers or certain athletes) ', 'Thyroid disease, particularly an underactive thyroid ']",carpal-tunnel-syndrome,,,
93,"['Cloudy or blurry vision', 'Double vision (diplopia)', 'Colors appear faded', 'Seeing halos around lights', 'Increased sensitivity to glare']",cataracts,,,"['A contact lens', 'Special cataract glasses with very powerful magnification']"
94,"['Erysipelas, a skin infection that causes raised, firm, bright red patches of skin — Usually, it is caused by Streptococcus bacteria. Erysipelas occurs most often on an arm or leg that has been damaged by previous surgery or is chronically swollen due to poor lymph flow (lymphedema). Erysipelas also can develop on the face, typically across the bridge of the nose and upper cheeks. ', 'Necrotizing fasciitis, also known as ""flesh-eating strep"" — This is an infection of the tissues below the skin, rather than the skin itself. Often, the skin in the area is discolored and extremely painful. Fasciitis is a life-threatening infection that requires prompt medical attention.']",cellulitis,,,
95,"['Spastic — Stiff, difficult movement ', 'Dyskinetic or athetoid — Involuntary and uncontrolled movement ', 'Ataxic — Poor coordination and balance ']",cerebral-palsy,,,"['Developmental delays/cognitive problems ', 'Seizures and other disorders of the nervous system ', 'Vision or hearing problems ']"
96,"['Blood-tinged or discolored vaginal discharge', 'Spotting after sex', 'Heavier and/or more prolonged menstrual bleeding', 'Vaginal bleeding between periods']",cervical-cancer,,"['HIV infection', 'Conditions or medications that decrease immunity', 'Having a mother that took the drug diethylstilbestrol (DES) during pregnancy', 'Any prior cervical biopsies that showed cancerous cells']","['An HPV test once every five years', 'Combined HPV and Pap test once every five years', 'Pap test once every three years']"
97,"['Ectocervical polyps can develop from the outer surface layer cells of the cervix. They are more common in postmenopausal women.', 'Endocervical polyps develop from cervical glands inside the cervical canal. Most cervical polyps are endocervical polyps, and are more common in premenopausal women.']",cervical-polyps,,,
98,"['azithromycin', 'Zithromax', 'Azithromycin Dose Pack', 'Floxin', 'doxycycline']",cervicitis,,,
99,"['A burning sensation in the eye after exposure to a chemical', 'Excessive tearing', 'Pain', 'Redness on the eye and eyelid surface', 'Blurred vision']",chemical-injury-to-the-eye,,,
100,"['Cure the cancer', 'Prevent the cancer from recurring after surgery', 'Prevent the cancer from spreading to other organs', 'Decrease the size of a tumor to make surgery easier', 'Shrink the size of incurable cancer to help relieve symptoms and improve quality of life (called palliative chemotherapy)']",chemotherapy,,,"['Fever', 'Chills', 'Rash', 'Swelling of your hands, feet or face', 'Severe vomiting', 'Diarrhea', 'Blood in your urine or stool', 'Abnormal bleeding or bruising in the skin', 'Trouble breathing', 'Severe headaches', 'Unexplained pain that is severe or lasts for long periods', 'Pain, swelling or redness at the injection site (if anti-cancer drugs were injected)']"
101,,chest-x-ray,,,
102,"['A burning sensation when urinating ', 'An abnormal vaginal discharge ', 'Light vaginal bleeding (especially after intercourse) ', 'Pain in the pelvis or lower abdomen  ', 'In men, chlamydia can cause:  ', 'An abnormal release of fluid that is not urine or semen (called penile discharge) ', 'A burning sensation when urinating  ']",chlamydia,,,"['Sexually active women age 24 and younger ', 'Older women with multiple sex partners ', 'All pregnant women age 24 and younger ', 'Older pregnant women who may be at higher risk ', 'Call your health care professional if you have had sexual contact with someone you think has been infected with chlamydia. ', 'Call your doctor if you have symptoms of urethral, vaginal or pelvic infection. ']"
103,"['Traditional surgery – The surgeon cuts open the abdomen and removes the gallbladder through an incision that is about 6 inches long. The abdomen is then stitched closed again.', 'Laparoscopic surgery – The surgeon makes four small (less than an inch) incisions for a laparoscope and instruments.  A laparoscope is a tube-like instrument with a camera for viewing, and with it the surgeon can to guide the surgical instruments to remove the gallbladder. The gallbladder is cut away from the liver and the bile duct and removed through one of the small incisions.']",cholecystectomy,,,
104,"['Acute cholecystitis is the sudden inflammation of the gallbladder that causes marked abdominal pain, often with nausea, vomiting, and fever.', 'Chronic cholecystitis is a lower intensity inflammation of the gallbladder that lasts a long time. It may be caused by repeat attacks of acute cholecystitis. Chronic cholecystitis may cause intermittent mild abdominal pain, or no symptoms at all. Damage to the walls of the gallbladder leads to a thickened, scarred gallbladder. Ultimately, the gallbladder can shrink and lose its ability to store and release bile.']",cholecystitis,,"['Ancef', 'Cefotan', 'cefazolin', 'cefoxitin', 'cefotetan']","['Pain. You may feel this discomfort in the center of the upper abdomen, just below the breastbone, or in the upper right portion of the abdomen, near the gallbladder and liver. In some people, the pain extends to the right shoulder. Symptoms typically start after eating.', 'Fever and possibly chills', 'Nausea and/or vomiting', 'Jaundice (yellowing of the skin or eyes), dark urine and pale, grayish bowel movements. These symptoms appear when gallstones pass out of the gallbladder and into the common bile duct, blocking the flow of bile out of the liver.']"
105,"['Trauma, especially a fracture (break) or dislocation of the kneecap', 'An imbalance of the muscles around the knee (Some muscles are weaker than others.)', 'Overuse (repeated bending or twisting) of the knee joint, especially during sports', 'Poorly aligned muscles or bones near the knee joint', 'Injury to a meniscus (C-shaped cartilage inside the knee joint)', 'Rheumatoid arthritis or osteoarthritis', 'An infection in the knee joint', 'Repeated episodes of bleeding inside the knee joint', 'Repeated injections of steroid drugs into the knee']",chondromalacia-patella,,,"['Applying ice after exercise and as needed for pain or swelling', 'Taking a nonsteroidal anti-inflammatory drug, such as ibuprofen (Advil, Motrin and others), to relieve your knee pain and ease any swelling', 'Taking other pain relievers, such as acetaminophen (Tylenol), which may also relieve pain', 'Starting an exercise program to strengthen the muscles around your knee', 'Avoiding high-impact exercises', 'Avoiding all kneeling and squatting', 'Using knee tape, a brace or a special patellar-tracking sleeve to keep your kneecap aligned properly']"
106,"['pain in the affected area that may worsen at night or during physical activity', 'swelling in the painful area', 'a lump or mass', 'enlargement of an existing growth', 'limping', 'difficulty moving the affected limb', 'changes in urination (for pelvic tumors).']",chondrosarcoma,,"['the TNM rating', 'the tumor grade', 'whether the cancer has spread to nearby or distant lymph nodes', 'whether the cancer has spread to other parts of the body.']","['how tumor cells look under a microscope', 'how many cancer cells are dividing', 'how much of the tumor is dying.']"
107,,chorionic-villus-sampling,,,
108,"['having blurry vision', 'seeing spots', 'seeing flashing lights', 'having severe eye pain.']",choroidal-melanoma,,,
109,"['Hepatitis B and C. Often the person infected is unaware of any initial symptoms. Or the symptoms were so mild that the person did not seek medical attention. This is especially true for chronic hepatitis C. Over time, perhaps a decade or more, both types may lead to the serious complication of cirrhosis due to ongoing destruction of liver cells and resultant scarring. A minority of patients with cirrhosis develop liver cancer over time.']",chronic-hepatitis,,,
110,"['Voice abuse or misuse — This means talking too much or too loudly. It can be an ongoing problem for people whose jobs depend on their voices, including singers, actors, telephone operators, lawyers, teachers, referees, coaches and anyone who must shout over loud noise at work (construction workers, personnel in airports and train stations, factory workers). Even children can develop chronic laryngitis from voice overuse or misuse, especially if they shout or strain their voices during choir practice, cheerleading or playground games.  ', 'Smoking — Cigarette smoke irritates the larynx, causing swelling and inflammation that thickens the vocal cords. This thickening can lower the pitch of the voice or make it sound raspy and harsh.  ', 'Drinking alcohol heavily — Alcohol causes a chemical irritation of the larynx that produces changes similar to those seen in smokers.  ', 'Gastroesophageal reflux disease (GERD) — GERD is a disorder in which acidic fluids from the stomach flow backward (reflux) into the esophagus and throat, irritating the larynx. Because acid reflux usually is worse when lying down, the hoarseness caused by GERD often is most noticeable in the morning right after awakening. Although some people with GERD also suffer from heartburn, indigestion and other symptoms related to the digestive tract, these symptoms are often absent in people who have chronic laryngitis because of GERD. Instead, these people may have other complaints involving the nose and throat, such as: ', 'the sensation of having a lump in the throat (a symptom called globus),  ', 'a persistent need to clear the throat ', 'discomfort during swallowing ', 'persistent cough  ', 'Work-related exposure to irritating chemicals or dusts — Many industrial products are suspected of causing chronic laryngitis and other respiratory problems. The U.S. Department of Labor monitors many of these products and provides safety guidelines for handling and exposure through the Occupational Safety and Health Administration (OSHA).  ']",chronic-laryngitis,,"['Avoid eating fatty foods, spicy foods and foods that have a high acid content (coffee, orange juice, tomato juice or sauce). This is especially important before bedtime.  ', 'Wait two to three hours after eating before lying down.  ', 'Raise the head of your bed 6 inches. This elevates your larynx above the level of your stomach when you lie down and helps prevent acid reflux.  ', 'Use antacids as recommended by your doctor.  ']","[""Don't smoke.  "", 'Avoid secondhand smoke.  ', 'Stay well hydrated to help keep your vocal cords moist.  ', 'Avoid alcohol or drink in moderation.  ', 'Use a humidifier to add moisture to the air in your home.  ', 'Avoid long bouts of shouting or uninterrupted talking.  ', 'Take protective measures to limit your exposure to irritating chemicals and dusts.  ']"
111,"['Use our A-Z list of drugs to find medications by brand or generic name.', 'Find treatment options by disease or condition.', 'Identify unknown pills by using our pill identifier tool.', 'Check for drug interactions to identify potentially harmful and unsafe combinations of prescription medications.', 'Stay up-to-date with the latest drug news and FDA updates on prescription medications.', 'Start over on our home page, view our complete sitemap, or use the search box above.']","chronic-otitis-media,-cholesteatoma-and-mastoiditis",,,
112,"['Heredity -- Hereditary chronic pancreatitis is a rare genetic disorder that predisposes a person to develop the disease, usually before age 20.  ', 'Genetic causes -- Mutations of the cystic fibrosis gene is the most widely recognized genetic cause. ', ""Blockage of the duct that drains digestive enzymes from the pancreas --If the enzymes don't drain properly, they can back up and damage the pancreas. Blockage can be caused by gallstones, scarring from prior surgery, tumors, or abnormalities of the pancreas or of the shape or location of the pancreatic duct. If the blockage is found early, surgery or a procedure called endoscopic retrograde cholangiopancreatography (ERCP) to relieve the blockage may help to prevent damage to the pancreas.  "", 'Autoimmune pancreatitis -- For unexplained reasons, some people develop antibodies that attack their own pancreas. ', 'Very high blood triglyceride levels  ']",chronic-pancreatitis,,"['Repeated episodes of abdominal pain or severe pain  ', 'Unexplained weight loss or diarrhea  ', 'Difficulty cutting back or stopping your alcohol use, especially if you have had a previous attack of acute pancreatitis ']","['Creon', 'Zenpep', 'Pancreaze', 'Viokace', 'Pertzye']"
113,"['Chronic bacterial prostatitis — In this condition, a bacterial infection causes swelling and inflammation of the prostate. Doctors can definitively make this diagnosis if bacteria and white blood cells are found in the urine. White blood cells are present when there is inflammation that may or may not be related to an actual infection. True chronic bacterial infection accounts for a small percentage of cases of chronic prostatitis. Sometimes doctors suspect a lingering bacterial infection even though no bacteria are identified.', 'Chronic non-bacterial prostatitis, also called inflammatory chronic pelvic pain syndrome — Doctors make this diagnosis when patients have typical symptoms of chronic prostatitis, but no bacteria are found in a urine sample. The cause of most cases of non-bacterial prostatitis is not well understood. The urine often contains white blood cells. Some patients may have a persistent low-grade infection that cannot be detected in a routine urine sample. However, most patients with non-bacterial prostatitis have no evidence of infection, even when sophisticated tests are done.', 'Prostadynia, also called non-inflammatory chronic pelvic pain syndrome — This term is used when symptoms of prostatitis are present, but there is no evidence of prostate infection or inflammation. Doctors understand very little about why some people — often young, otherwise healthy men — develop this problem. Theories to explain prostadynia include an abnormal buildup of pressure in the urinary tract, irritation resulting from an autoimmune or chemical process, or pain generated in the nerves and muscles within the pelvis.']",chronic-prostatitis,,"['Alpha-blocker medications, such as tamsulosin (Flomax) or alfuzosin (Uroxatral), may be prescribed to relax the muscles that control the bladder. These may relieve symptoms of urgency, hesitancy or dribbling. For men with an enlarged prostate, similar symptom improvement may be seen with drugs that shrink the size of the prostate, such as finasteride (Proscar) or dutasteride (Avodart).', 'Pain relievers, anti-inflammatory drugs and muscle relaxants may help with pain and muscle spasms. Some men find relief with warm baths or with biofeedback programs designed to reduce tension in the pelvic muscles.', 'Eliminating caffeine and alcohol may reduce irritation of the bladder and prostate.', 'Some physicians recommend reducing congestion in the prostate by ejaculating more frequently or by massaging the prostate regularly.']","['In bacterial prostatitis, the urine will contain white blood cells and bacteria, especially after the doctor has pressed firmly on the prostate. The urine usually will contain the type of bacteria found in most urinary tract infections.', 'In non-bacterial prostatitis, the urine collected after prostate massage may contain white blood cells. However, no bacteria will be seen, and a urine culture will be normal.', 'In prostadynia, the urine specimen will be clear, even after the doctor has pressed firmly on the prostate.']"
114,"['Produces essential proteins that help blood to clot', 'Removes or neutralizes poisons, drugs and alcohol', 'Manufactures bile that helps the body to absorb fats and cholesterol', 'Helps to maintain normal blood sugar levels', 'Regulates several hormones']",cirrhosis,,"['Your doctor may recommend a low-sodium diet and diuretics if you are retaining excess fluid in your body.', 'Lactulose or other medication will be prescribed if you have confusion caused by hepatic encephalopathy.  Lactulose is a laxative that decreases the absorption of certain substances toxic to the brain.', 'Medications can be prescribed for itching and infections.', 'Blood pressure medicines may help to lower pressure in the portal veins to decrease the risk of internal bleeding.']","['Increased sensitivity to drugs', 'Personality and behavioral changes, including confusion, neglect of appearance, forgetfulness, trouble concentrating and changes in sleep habits', 'Loss of consciousness', 'Coma']"
115,"['Alcohol', 'Certain foods, especially those with high amounts of nitrites (bacon for example)', 'Tobacco products', 'Bright lights', 'Hot weather or hot showers and baths']",cluster-headache,,"['Triptans, such as sumatriptan (Imitrex), and rizatriptan (Maxalt)', 'Intranasal dihydroergotamine', 'Intranasal lidocaine -- safe but only occasionally effective']","['Avoid alcohol', 'Quit smoking', 'Maintain a regular sleep pattern', 'Identify and avoid your ""triggers""']"
116,"['Use our A-Z list of drugs to find medications by brand or generic name.', 'Find treatment options by disease or condition.', 'Identify unknown pills by using our pill identifier tool.', 'Check for drug interactions to identify potentially harmful and unsafe combinations of prescription medications.', 'Stay up-to-date with the latest drug news and FDA updates on prescription medications.', 'Start over on our home page, view our complete sitemap, or use the search box above.']",cogan's-syndrome,,,
117,"['Digital rectal exam — The doctor inserts a gloved finger into the rectum to check for unusual growths or formations. This can only detect polyps in the rectum, the lower few inches of the bowel.', 'Fecal occult blood test — A sample of stool is examined for tiny traces of blood, an indication of polyps.', 'Sigmoidoscopy — A thin, lighted tube fitted with a video camera is inserted into the colon through the rectum, allowing the doctor to examine the area for polyps. Small polyps can be removed through the scope.', 'Colonoscopy — A longer version of the instrument used in sigmoidoscopy is used to see the entire length of the colon. This is the only test that examines all the areas where cancers may grow. Small polyps can be removed through the scope.']",colon-polyps,,"['Taking aspirin-like drugs — In several studies, people who used aspirin or other non-steroidal anti-inflammatory drugs (NSAIDs) on a regular basis had a 40% to 50% lower chance of developing adenomatous polyps or colorectal cancer. Because of side effects of these drugs, taking them every day just to prevent colon cancer is not advised if your cancer risk is only average.']",['A multivitamin or a vitamin D supplement daily — People who have a higher intake of vitamin D have a reduced risk of colon cancer compared to those with inadequate vitamin D intake.']
118,,colonoscopy,,,
