,information,drug_name,avoid_if,side_effects,usual_dose
33,['Jardiance is an oral diabetes medicine that helps control blood sugar levels. Empagliflozin works by helping the kidneys get rid of glucose from your bloodstream.'],Jardiance,"['liver or kidney disease;', 'a bladder infection or urination problems;', 'a genital infection (penis or vagina);', 'problems with your pancreas, including surgery;', 'alcoholism, or if you currently drink large amounts of alcohol;', 'if you are on a low salt diet; or', 'if you are 65 or older.']","['a light-headed feeling, like you might pass out;', 'dehydration - dizziness, confusion, feeling very thirsty, less urination;', 'ketoacidosis (too much acid in the blood) - nausea, vomiting, stomach pain, confusion, unusual drowsiness, or trouble breathing; or', 'signs of a bladder infection - pain or burning when you urinate, blood in your urine, pain in pelvis or back.']",['Usual Adult Dose of Jardiance for Diabetes Type 2:']
34,['Kevzara reduces the effects of a substance in the body that can cause inflammation.'],Kevzara,"['fever, chills, sweating, body aches;', 'cough with bloody mucus;', 'feeling short of breath;', 'diarrhea, stomach pain, weight loss;', 'sores on your skin;', 'pain or burning when you urinate; or', 'feeling very tired.']","['fever;', 'ongoing stomach pain; or', 'a change in bowel habits.']",['Call your doctor for instructions if you miss a dose.']
35,['Lexapro (escitalopram) is an antidepressant from the group of drugs called selective serotonin reuptake inhibitors (SSRIs) and is used to treat certain types of depression and anxiety. Lexapro works by balancing levels of serotonin in the brain and nerves.'],Lexapro,"['liver or kidney disease;', 'seizures;', 'low levels of sodium in your blood;', 'heart disease, high blood pressure;', 'a stroke;', 'bleeding problems;', 'sexual problems;', 'bipolar disorder (manic depression); or', 'drug addiction or suicidal thoughts.']","['blurred vision, tunnel vision, eye pain or swelling, or seeing halos around lights;', 'racing thoughts, unusual risk-taking behavior, feelings of extreme happiness or sadness;', 'pain or burning when you urinate;', '(in a child taking Lexapro) slow growth or weight gain;', 'low levels of sodium in the body - headache, confusion, slurred speech, severe weakness, vomiting, loss of coordination, feeling unsteady; or', 'severe nervous system reaction - very stiff (rigid) muscles, high fever, sweating, confusion, fast or uneven heartbeats, tremors, feeling like you might pass out.']","['Initial dose: 10 mg orally once a day; increase if necessary after at least 1 week of treatment to 20 mg once a day', 'Maintenance dose: 10 to 20 mg orally once a day', 'Maximum dose: 20 mg orally once a day', '', 'Comment: Treatment should be periodically reassessed to determine the need for ongoing treatment; efficacy beyond 8 weeks has not been systematically studied.', '', 'Use: Acute treatment of generalized anxiety disorder']"
36,['Lisinopril is an ACE inhibitor. ACE stands for angiotensin converting enzyme.'],Lisinopril,"['kidney disease (or if you are on dialysis);', 'liver disease; or', 'high levels of potassium in your blood.']","['a light-headed feeling, like you might pass out;', 'fever, sore throat;', 'high potassium - nausea, weakness, tingly feeling, chest pain, irregular heartbeats, loss of movement;', 'kidney problems - little or no urination, swelling in your feet or ankles, feeling tired or short of breath; or', '>liver problems - nausea, upper stomach pain, itching, tired feeling, loss of appetite, dark urine, clay-colored stools, jaundice (yellowing of the skin or eyes).']",['Usual Adult Dose for Congestive Heart Failure:']
37,"['Lofexidine works by blocking the release of norepinephrine, a hormone similar to adrenaline that contributes to opioid withdrawal symptoms.']",Lofexidine,"['slow heartbeats;', 'severe dizziness or drowsiness; or', 'a light-headed feeling, like you might pass out.']","['low blood pressure;', 'dizziness (especially when standing up);', 'drowsiness; or', 'dry mouth.']","['Initial dose: 0.54 mg orally 4 times a day during period of peak withdrawal', '-Dosing should be guided by symptoms and side effects', 'Frequency of dosing: Every 5 to 6 hours', 'Maximum single dose: 0.72 mg', 'Maximum daily dose: 2.88 mg/day', 'Maximum duration of therapy: 14 days', '', 'Comments:', '-The period of peak withdrawal symptoms is generally the first 5 to 7 days following last use of opioid.', '-Treatment may be continued for up to 14 days with dosing guided by symptoms; lower doses may be appropriate as opioid withdrawal symptoms wane.', '-Discontinuation should occur over a 2 to 4-day period to mitigate withdrawal effects of lofexidine (e.g. reducing by 1 tablet per dose every 1 to 2 days).', '', 'Use: For the mitigation of opioid withdrawal symptoms to facilitate abrupt opioid discontinuation.']"
38,"['Loratadine is an antihistamine that reduces the effects of natural chemical histamine in the body. Histamine can produce symptoms of sneezing, itching, watery eyes, and runny nose.']",Loratadine,"['Keep the tablet in its blister pack until you are ready to take it. Open the package and peel back the foil. Do not push a tablet through the foil or you may damage the tablet.', 'Use dry hands to remove the tablet and place it in your mouth.', 'Do not swallow the tablet whole. Allow it to dissolve in your mouth without chewing. If desired, you may drink liquid to help swallow the dissolved tablet.']","['fast or uneven heart rate;', 'severe headache; or', 'a light-headed feeling, like you might pass out;']",['Usual Adult Dose for Allergic Rhinitis:']
39,"['Lyrica was originally FDA approved as an anti-epileptic drug, also called an anticonvulsant. It works by slowing down impulses in the brain that cause seizures. Pregabalin also affects chemicals in the brain that send pain signals across the nervous system.']",Lyrica,"['Pregabalin is not approved for use by anyone younger than 18 years old to treat nerve pain caused by fibromyalgia, diabetes, herpes zoster, or spinal cord injury.', 'Pregabalin is not approved for seizures in anyone younger than 1 month old.']","['weak or shallow breathing;', 'blue-colored skin, lips, fingers, and toes;', 'confusion, extreme drowsiness or weakness;', 'vision problems;', 'skin sores (if you have diabetes);', 'easy bruising, unusual bleeding;', 'swelling in your hands or feet, rapid weight gain (especially if you have diabetes or heart problems); or', ""unexplained muscle pain, tenderness, or weakness (especially if you also have fever or don't feel well).""]",['Seek emergency medical attention or call the Poison Help line at 1-800-222-1222.']
40,['Melatonin is the natural hormone your body secretes that helps to maintain your wake-sleep cycle (also called “biological clock”). Melatonin is also made synthetically and available without a prescription as an over-the-counter (OTC) dietary supplement in the U.S.'],Melatonin,"['diabetes', 'depression', 'a bleeding or blood clotting disorder such as hemophilia', 'taking a blood thinner like warfarin', 'high or low blood pressure', 'epilepsy or other seizure disorder', 'if you are using any medicine to prevent organ transplant rejection', 'an autoimmune condition', 'using other sedatives or tranquilizers']","['Eastbound: If you are traveling east, say from the US to Europe, take supplemental melatonin for sleep after dark, 30 minutes before bedtime in the new time zone or if you are on the plane. Then take it for the next 4 nights in the new time zone, after dark, 30 minutes before bedtime. If you are still feeling drowsy the day after using this medication, try a lower dose.', 'Westbound: If you are heading west, for example, from the US to Australia, a dose is not needed for your first travel night, but you then may take it for the next 4 nights in the new time zone, after dark, 30 minutes before bedtime. Melatonin may not always be needed for westbound travel.']",['How to Take for Delayed Sleep-Wake Phase Disorder']
41,['Meloxicam is a nonsteroidal anti-inflammatory drug (NSAID). It works by reducing hormones that cause inflammation and pain in the body. Meloxicam is used to treat pain or inflammation caused by rheumatoid arthritis and osteoarthritis in adults.'],Meloxicam,"['the first sign of any skin rash, no matter how mild;', 'shortness of breath (even with mild exertion);', 'swelling or rapid weight gain;', 'signs of stomach bleeding - bloody or tarry stools, coughing up blood or vomit that looks like coffee grounds;', 'liver problems - nausea, upper stomach pain, itching, tired feeling, flu-like symptoms, loss of appetite, dark urine, clay-colored stools, jaundice (yellowing of the skin or eyes);', 'kidney problems - little or no urinating, painful or difficult urination, swelling in your feet or ankles, feeling tired or short of breath;', 'low red blood cells (anemia) - pale skin, feeling light-headed or short of breath, rapid heart rate, trouble concentrating; or', 'severe skin reaction - fever, sore throat, swelling in your face or tongue, burning in your eyes, skin pain followed by a red or purple skin rash that spreads (especially in the face or upper body) and causes blistering and peeling.']","['upset stomach, nausea, vomiting, heartburn;', 'diarrhea, constipation, gas;', 'dizziness; or', 'cold or flu symptoms.']","['Store meloxicam tablets or capsules at room temperature, away from moisture and heat. Keep the bottle tightly closed when not in use.']"
42,"['Metformin is a medicine used together with diet to lower high blood sugar levels in patients with type 2 diabetes. Metformin works by lowering the amount of glucose absorbed from intestines, decreasing how much glucose is made in the liver and improving insulin sensitivity.']",Metformin,"['kidney disease (your kidney function may need to be checked before you take this medicine);', 'high ketone levels in your blood or urine;', 'heart disease, congestive heart failure;', 'liver disease; or', 'if you also use insulin, or other oral diabetes medications.']","['unusual muscle pain;', 'feeling cold;', 'trouble breathing;', 'feeling dizzy, light-headed, tired, or very weak;', 'stomach pain, vomiting; or', 'slow or irregular heart rate.']",['Avoid drinking alcohol. It lowers blood sugar and may increase your risk of lactic acidosis.']
43,['Methadone is an opioid medication. An opioid is sometimes called a narcotic.'],Methadone,"['heart problems, long QT syndrome (in you or a family member);', 'breathing problems, sleep apnea;', 'a head injury, brain tumor, or seizures;', 'drug or alcohol addiction, or mental illness;', 'liver or kidney disease;', 'urination problems; or', 'problems with your gallbladder, pancreas, or thyroid.']","['weak or shallow breathing, breathing that stops during sleep;', 'severe constipation;', 'a light-headed feeling, like you might pass out;', 'fast or pounding heartbeats, fluttering in your chest, shortness of breath;', 'low cortisol levels--nausea, vomiting, loss of appetite, dizziness, worsening tiredness or weakness; or', 'serotonin syndrome - agitation, hallucinations, fever, fast heart rate, muscle stiffness, twitching, loss of coordination, nausea, diarrhea.']",['Do not take two doses at one time.']
44,"['Methotrexate interferes with the growth of certain cells of the body, especially cells that reproduce quickly, such as cancer cells, bone marrow cells, and skin cells.']",Methotrexate,"['liver problems, especially fluid in your stomach (ascites);', 'kidney disease;', 'lung problems, especially fluid in the lungs (pleural effusion);', 'radiation treatments; or', 'a stomach ulcer or ulcerative colitis.']","['If you are a woman, you may need to have a negative pregnancy test before starting this treatment. Use effective birth control to prevent pregnancy while you are using methotrexate and for at least 6 months after your last dose.', 'If you are a man, use effective birth control if your sex partner is able to get pregnant. Keep using birth control for at least 3 months after your last dose.', 'Tell your doctor right away if a pregnancy occurs while either the mother or the father is using methotrexate.']",['Seek emergency medical attention or call the Poison Help line at 1-800-222-1222. An overdose of methotrexate can be fatal.']
45,['Metoprolol is a beta-blocker that affects the heart and circulation (blood flow through arteries and veins).'],Metoprolol,"['asthma, chronic obstructive pulmonary disease (COPD), sleep apnea, or other breathing disorder;', 'diabetes (taking metoprolol may make it harder for you to tell when you have low blood sugar);', 'liver disease;', 'congestive heart failure;', ""problems with circulation (such as Raynaud's syndrome);"", 'a thyroid disorder; or', 'pheochromocytoma (tumor of the adrenal gland).']","['very slow heartbeats;', 'a light-headed feeling, like you might pass out;', 'shortness of breath (even with mild exertion), swelling, rapid weight gain; or', 'cold feeling in your hands and feet.']","['Initial dose:', '-Metoprolol tartrate immediate release tablets: 50 mg orally twice a day', '-Metoprolol succinate extended release tablets: 100 mg orally once a day', '', 'Maintenance dose: 100 to 400 mg per day.']"
46,['Naloxone is an FDA approved medicine used to quickly reverse an opioid overdose. Naloxone is a opioid antagonist that works by attaching to opioid receptors and therefore reverses and blocks the effects of other opioids. '],Naloxone,"['you have heart problems; or', 'you are pregnant or breastfeeding.']","['Each naloxone injection contains only one dose of medicine and cannot be reused.', 'Place the patient on their back and when you are ready to inject, pull off cap to expose needle.', 'Do not put your finger on top of the device. For a child under the age of 1 years old, pinch the thigh muscle while administering the dose.', 'Hold naloxone injection by finger grips only and slowly insert the needle into the thigh.', 'After needle is in thigh you should push the plunger all the way down until it clicks and then hold for 2 seconds.', 'Right after the injection, using one hand with fingers behind the needle, slide the safety guard over the needle. You should not use two hands to activate the safety guard. Put the used syringe into the blue case and close the case.']",['Initial dose:']
